2024已评测意式豆榜单,,,,,,,,,
评测（期）,品牌,豆子,烘焙度,推荐值（星）,元/克,返回目录,,,
,,,,,,,,,
78,皮爷咖啡,多明戈大街,,0,0.512,,,,
9,Voyage,黑森林,,5,0.396,,,,
44,Soft,紫葡萄,,5,0.361,,,,
76,启程拓殖,太妃糖,,5,0.260,,,,
19,菠萝咖啡成子,日式深烘Puls,,5,0.260,,,,
10,启程拓殖,黄糖奶油,,5,0.225,,,,
91,Grand Cru,瑰夏SOE,,5,0.395,,,,
53,蓝瓶子,海耶斯古,,4,0.690,,,,
85,有容乃大,夏季拼配,,4,0.505,,,,
14,Joker,茶花女,,4,0.344,,,,
55,Joker,摆脱冷气,,4,0.326,,,,
37,Joker,那条龙,,4,0.313,,,,
40,特写咖啡,开场白,,4,0.306,,,,
99,M2M,糖渍果子,,4,0.288,,,,
42,良致咖啡,龙眼拼配,,4,0.275,,,,
13,Lumos,光拼配,,4,0.258,,,,
43,河川水流,黄金温泉,,4,0.250,,,,
36,Quinn,黄油拼配,,4,0.238,,,,
11,三木屿,伯爵绿茶2.0,,4,0.233,,,,
61,BOB,小蓝山,,4,0.220,,,,
24,柯林咖啡,果叮叮,,4,0.208,,,,
31,扑满咖啡,5号拼配,,4,0.194,,,,
64,辛鹿咖啡,草莓曲奇,,4,0.184,,,,
88,Joker,鹦鹉螺拼配,,4,0.172,,,,
47,乔治队长0,黑猫拼配,,4,0.165,,,,
21,BOB,香甜意式拼配,,4,0.143,,,,
26,柯林咖啡,太阳黑子,,4,0.106,,,,
93,河川水流,划水拼配,,4,0.220,,,,
84,乔治队长,牛奶公司,,3,0.360,,,,
100,启程拓殖,奶油葡萄干,,3,0.320,,,,
77,艾斯品,流心巴斯克,,3,0.295,,,,
17,CoffeeBuff,朱古力拼配,,3,0.272,,,,
44,良致咖啡,行走的阳光,,3,0.270,,,,
33,瑞幸咖啡,绿宝石,,3,0.252,,,,
12,Aokka,中浅烘耶加雪菲,,3,0.252,,,,
8,Aokka,深烘耶加雪菲,,3,0.252,,,,
23,NL24,云南德宏,,3,0.245,,,,
73,FlyingHippo,焦糖曲奇拼配,,3,0.236,,,,
83,柯林咖啡,蜂鸟SOE,,3,0.236,,,,
68,Ootman,脉气拼配,,3,0.233,,,,
49,分子咖啡,液体芝士,,3,0.233,,,,
56,分子咖啡,甜橙乳酪,,3,0.232,,,,
25,如本咖啡,酒神拼配,,3,0.232,,,,
97,辛鹿咖啡,翡翠石榴,,3,0.220,,,,
65,玫瑰咖啡,千纸鹤,,3,0.216,,,,
39,四人咖啡,拿破仑拼配,,3,0.210,,,,
82,布蕾克,黑甜巧,,3,0.204,,,,
18,啡舍,臻巧拼配,,3,0.196,,,,
58,明谦咖啡,美洲豹,,3,0.190,,,,
57,辛鹿咖啡,白巧曲奇,,3,0.184,,,,
67,喜豆豆,可可球,,3,0.183,,,,
74,Ander,坚果风暴,,3,0.178,,,,
87,咖啡小镇,舒伯特玫瑰,,3,0.176,,,,
27,Soft,饼干罐,,3,0.170,,,,
70,Let'sGrind,影子拳手,,3,0.167,,,,
50,扑满咖啡,7号新航线,,3,0.165,,,,
3,乔治队长,疣猪拼配,,3,0.165,,,,
63,Let'sGrind,过气冠军,,3,0.154,,,,
66,李想珈,蜜香莓,,3,0.152,,,,
29,老地基,坚果焦糖拼配,,3,0.148,,,,
60,倩如,林东曼特宁,,3,0.146,,,,
59,捌比特,巴西之光,,3,0.136,,,,
2,治光师,深烘拼配,,3,0.128,,,,
41,九帕咖啡,深烘浓郁型拼配,,3,0.104,,,,
45,京东京造,巧克力三重奏,,3,0.097,,,,
28,豆叔,醇爵士,,3,0.097,,,,
30,辛鹿咖啡,蓝冬拼配,,3,0.084,,,,
51,甜心至尊,超大碗拼配,,3,0.072,,,,
89,河汉咖啡,乌干达SOE,,3,0.200,,,,
45,分子咖啡,野孩子,,2.5,0.116,,,,
81,Ander,小王子,,2,0.408,,,,
79,Ander,可可森林,,2,0.272,,,,
4,治光师,野草莓北野武,,2,0.236,,,,
62,乔治队长,海狮拼配,,2,0.216,,,,
1,瑞幸咖啡,意式拼配,,2,0.210,,,,
69,德林造味,过桥拼配,,2,0.200,,,,
46,明谦咖啡,教父,,2,0.172,,,,
75,水月雨,超音速拼配,,2,0.167,,,,
32,良致咖啡,巧克力先生,,2,0.155,,,,
98,豆叔咖啡,时间运河上 的贡多拉,,2,0.144,,,,
51,豆叔咖啡,文森特向日葵2.0,,2,0.138,,,,
80,太良咖啡,重庆森林,,2,0.128,,,,
86,治光师,香料地午餐,,2,0.121,,,,
54,IRIS,春醪拼配,,2,0.120,,,,
35,咖思顿,云南水洗SOE,,2,0.110,,,,
28,M2M,醒物拼配,,2,0.098,,,,
30,UFO,焦糖曲奇拼配,,2,0.077,,,,
22,咖小司,丁麦,,2,0.064,,,,
90,辛鹿咖啡,莹焰拼配,,2,0.136,,,,
92,时留咖啡,西江月,,2,0.240,,,,
94,BOB,跳跳糖拼配,,2,0.216,,,,
6,明谦咖啡,意式特浓拼配,,1,0.110,,,,
20,赏森咖啡,西达摩SOE,,1,0.095,,,,
95,山姆超市,经典意式拼配,,1,0.168,,,,
96,山姆超市,铂金拼配,,1,0.148,,,,
34,巴莱咖啡,经典意式拼配,,0,0.070,,,,
39,布蕾克,吨吨拼配,,0,0.000,,,,
38,布蕾克,大碗拼配,,0,0.000,,,,
16,云南XXX,XXX,,0,0.000,,,,
