咖啡豆评测榜单2025（仅代表个人喜好）,,,,,,,,,,
序号,品牌,咖啡豆,烘焙度,克价（元）,喜好星值,视频期数,美式,奶咖,备注,购买渠道
0,闽长香,意式1号,中深度,0.34,0,8,0,0,💩,淘宝
0,喵小雅,熔岩黑巧拼配,中深度,0.15,0,16,0,0,💩,淘宝
0,咖啡汤,夜曲,中深度,0.26,0,19,0,0,💩,小红书
1,IRIS,彩云之南,深度,0.13,3,1,2,2,入门浓郁,淘宝
2,IRIS,云南之光,中度,0.13,3,2,2,2,入门，葡萄、葡萄酒风味，不精致,淘宝
3,良致,红沙丘,深度,0.21,3,3,3,3.5,口感干净的巧克力,淘宝
4,圣德纳,哥斯达黎加SOE,深度,0.39,4,4,4,4.5,断货,淘宝
5,辛鹿,橘香茉莉,中深度,0.15,3,5,2,3,有茉莉花茶感，风味强度不高，性价比,淘宝
6,咖啡小镇,茉莉山雪,中度,0.17,2,6,2,3,窨制处理，茉莉花茶味较为具象,淘宝
7,山姆,西达摩,中度,0.16,1,7,1,1,#¥%……&*,淘宝
8,布蕾克,云南醒醒意式,中深度,0.098,2,9,1,1.5,便宜，牛马快乐水，喝多了会兴奋,淘宝
9,草莓,白金之心0.4,中度,0.235,4,10,4,4.5,干净，甜度高，精致的柑橘橙子,快团团
10,如光咖啡,格兰芬多拼配,中度,0.48,4,11,4,4.5,精致的果香，价高物有所值，细糠,淘宝
11,Wood Coffee,椰子奶糖,中深,0.21,3,12,2.5,4,美式有点烂水果，奶咖能压住,淘宝
12,BOB Coffee,曼特宁玉龙,中度,0.3,3,13,3,3,定位略有点尴尬,淘宝
13,BOB Coffee,瑰夏SOE,中度,0.3,3,14,3,4,爱喝奶咖的话其实挺不错的,淘宝
14,柯林咖啡,太阳耀斑,中深,0.2,4,15,3.5,4,口粮豆，酸苦平衡，性价比也 OK,淘宝
15,菠萝咖啡橙子,国王拼配,中深,0.456,3,17,4,4,好喝，均衡，价格看人,淘宝
16,有容乃大,冬季拼配,浅度,0.47,4,18,4,4.5,成分复杂，但是好喝，层次丰富，酸质精致,淘宝
17,果子星,狂野绅士,深度,0.176,2,20,2,3,浓苦，奶咖不错，性价比一般,淘宝
18,白鲸,三重奏拼配,深度,0.27,5,21,4,4.5,好喝，浓郁饱满巧克力，奶咖一绝,淘宝
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
